2022-08-02 04:33:18 startup archives unpack
2022-08-02 04:33:18 install openssl:amd64 <none> 1.1.1n-0+deb11u3
2022-08-02 04:33:18 status half-installed openssl:amd64 1.1.1n-0+deb11u3
2022-08-02 04:33:18 status unpacked openssl:amd64 1.1.1n-0+deb11u3
2022-08-02 04:33:18 install ca-certificates:all <none> 20210119
2022-08-02 04:33:18 status half-installed ca-certificates:all 20210119
2022-08-02 04:33:18 status unpacked ca-certificates:all 20210119
2022-08-02 04:33:18 install libapr1:amd64 <none> 1.7.0-6+deb11u1
2022-08-02 04:33:18 status triggers-pending libc-bin:amd64 2.31-13+deb11u3
2022-08-02 04:33:18 status half-installed libapr1:amd64 1.7.0-6+deb11u1
2022-08-02 04:33:18 status unpacked libapr1:amd64 1.7.0-6+deb11u1
2022-08-02 04:33:18 install libexpat1:amd64 <none> 2.2.10-2+deb11u3
2022-08-02 04:33:18 status half-installed libexpat1:amd64 2.2.10-2+deb11u3
2022-08-02 04:33:18 status unpacked libexpat1:amd64 2.2.10-2+deb11u3
2022-08-02 04:33:18 install libgdbm6:amd64 <none> 1.19-2
2022-08-02 04:33:18 status half-installed libgdbm6:amd64 1.19-2
2022-08-02 04:33:18 status unpacked libgdbm6:amd64 1.19-2
2022-08-02 04:33:18 install libaprutil1:amd64 <none> 1.6.1-5
2022-08-02 04:33:18 status half-installed libaprutil1:amd64 1.6.1-5
2022-08-02 04:33:18 status unpacked libaprutil1:amd64 1.6.1-5
2022-08-02 04:33:18 install libsasl2-modules-db:amd64 <none> 2.1.27+dfsg-2.1+deb11u1
2022-08-02 04:33:18 status half-installed libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2022-08-02 04:33:18 status unpacked libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2022-08-02 04:33:18 install libsasl2-2:amd64 <none> 2.1.27+dfsg-2.1+deb11u1
2022-08-02 04:33:18 status half-installed libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2022-08-02 04:33:18 status unpacked libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2022-08-02 04:33:18 install libldap-2.4-2:amd64 <none> 2.4.57+dfsg-3+deb11u1
2022-08-02 04:33:18 status half-installed libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1
2022-08-02 04:33:18 status unpacked libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1
2022-08-02 04:33:18 install libaprutil1-ldap:amd64 <none> 1.6.1-5
2022-08-02 04:33:18 status half-installed libaprutil1-ldap:amd64 1.6.1-5
2022-08-02 04:33:18 status unpacked libaprutil1-ldap:amd64 1.6.1-5
2022-08-02 04:33:18 install libldap-common:all <none> 2.4.57+dfsg-3+deb11u1
2022-08-02 04:33:18 status half-installed libldap-common:all 2.4.57+dfsg-3+deb11u1
